country,intervention,year,cause
India,Towards cancer-free India,2025,Neoplasms
India,NP-NCD National Guidelines,2023,Neoplasms
India,Quad Cancer Moonshot Initiative,2024,Neoplasms
India,Expansion of ACTREC,2025,Neoplasms
India,National Health Policy,2017,Neoplasms
India,National Cancer Registry Program,2020,Neoplasms
India,NCG- Guidelines,2021,Neoplasms
India,NP-NCD National Guidelines,2023,Cardiovascular Diseases
India,National Health Policy 2017,2017,Cardiovascular Diseases
India,Ayushman Bharat,2018,Cardiovascular Diseases
India,NPCDCS,2017,Cardiovascular Diseases
India,Trans Fat regulations under FSSAI,2021,Cardiovascular Diseases
India,Cable Television Networks Regulated Act and rules,2000,Tobacco smoking
India,COPTA-2003,2003,Tobacco smoking
India,Prohibition of smoking in public places,2008,Tobacco smoking
India,Food safety and standard regulations,2011,Tobacco smoking
India,Tobacco-free films and TV rules,2012,Tobacco smoking
India,Juvenile justice care and protection of children,2015,Tobacco smoking
India,Cigarettes and other tobacco products Amendment Rules,2023,Tobacco smoking
India,"Prohibition of advertisement and regulation of trade and commerce, production, supply and Distribution",2006,Tobacco smoking
United States,Affordable care Act,2010,Neoplasms
United States,Breast and cervical cancer prevention and treatement Act,2000,Neoplasms
United States,Hematological cancer research investment and education Act,2001,Neoplasms
United States,National comprehensive cancer control program,2024,Neoplasms
United States,21st Century Act,2015,Neoplasms
United States,National Cancer moonshot initiative,2016,Neoplasms
United States,The precision medicine initiative,2015,Neoplasms
United States,Leading progess against cancer,2018,Neoplasms
United States,"Medicare Prescription drug, improvement, and modernization Act",2003,Cardiovascular Diseases
United States,Wisewomen program,2018,Cardiovascular Diseases
United States,Affordable care Act,2010,Cardiovascular Diseases
United States,Miilion Hearts initiative,2022,Cardiovascular Diseases
United States,NCCDPHP,2025,Cardiovascular Diseases
United States,National prevention strategy,2011,Cardiovascular Diseases
United States,CMS inovation to make America Healthy again,2025,Cardiovascular Diseases
United States,Family smoking prevention and Tobacco control Act,2009,Tobacco smoking
United States,Tobacco 21,2019,Tobacco smoking
United States,Prohibition of sale of tobacco products to persons younger than 21 years of age,2024,Tobacco smoking
United States,Ban on charracterizing flavours,2009,Tobacco smoking
United States,"""Deeming"" Rule",2016,Tobacco smoking
United States,Federal cigarette labeling and Adervtising Act,2001,Tobacco smoking
United States,National and state Tobacco Control Program,2024,Tobacco smoking
United States,Menthol Cigarettes ban,2022,Tobacco smoking
Japan,Health Japan 21,2021,Neoplasms
Japan,Cancel Control Act,2007,Neoplasms
Japan,National cancer screening Guidelines,2001,Neoplasms
Japan,Basic plan for promoting cancer control (phase1),2007,Neoplasms
Japan,Basic plan for promoting cancer control (phase2),2012,Neoplasms
Japan,Basic plan for promoting cancer control (phase3),2017,Neoplasms
Japan,Cancer registartion promotion Act,2016,Neoplasms
Japan,Fourth basic to plan to promote cancel control program,2022,Neoplasms
Japan,Health Japan 21,2021,Cardiovascular Diseases
Japan,Japanese Society of hypertension,2009,Cardiovascular Diseases
Japan,Japanese guidelines for the management of stroke,2004,Cardiovascular Diseases
Japan,Special Health check-ups and specific health guidance program,2008,Cardiovascular Diseases
Japan,Japanese Circulation Society Cardiovascular disease prevention guidelines,2016,Cardiovascular Diseases
Japan,Japanese hypertension guideline (update implementation),2020,Cardiovascular Diseases
Japan,Tobacco business Act,2014,Tobacco smoking
Japan,Health Japan 21,2021,Tobacco smoking
Japan,Health promotion act,2015,Tobacco smoking
Japan,WHO framework convention on tobacco control,2004,Tobacco smoking
Japan,Tobacco Business Act,2005,Tobacco smoking
Japan,Guidelines for smoking cessation,2010,Tobacco smoking
Japan,Tobacco tax Increases,2008,Tobacco smoking
Japan,Nationwide Smoke-Free Regulations,2020,Tobacco smoking
